"","Date","Crime","Atamelang"
"143","Jul-Sep 2018","Rape",6
"144","Oct-Dec 2018","Rape",18
"145","Jan-Mar 2019","Rape",10
"146","Apr-Jun 2019","Rape",13
"147","Jul-Sep 2019","Rape",12
"148","Oct-Dec 2019","Rape",6
"149","Jan-Mar 2020","Rape",5
"150","Apr-Jun 2020","Rape",4
"151","Jul-Sep 2020","Rape",7
"152","Oct-Dec 2020","Rape",12
"153","Jan-Mar 2021","Rape",7
"154","Apr-Jun 2021","Rape",7
"155","Jul-Sep 2021","Rape",13
"156","Oct-Dec 2021","Rape",7
"157","Jan-Mar 2022","Rape",6
"158","Apr-Jun 2022","Rape",2
"159","Jul-Sep 2022","Rape",6
"160","Oct-Dec 2022","Rape",10
"161","Jan-Mar 2018","SexualAssault",1
"162","Apr-Jun 2018","SexualAssault",1
"163","Jul-Sep 2018","SexualAssault",1
"164","Oct-Dec 2018","SexualAssault",0
"165","Jan-Mar 2019","SexualAssault",1
"166","Apr-Jun 2019","SexualAssault",0
"167","Jul-Sep 2019","SexualAssault",0
"168","Oct-Dec 2019","SexualAssault",0
"169","Jan-Mar 2020","SexualAssault",0
"170","Apr-Jun 2020","SexualAssault",0
"171","Jul-Sep 2020","SexualAssault",0
"172","Oct-Dec 2020","SexualAssault",0
"173","Jan-Mar 2021","SexualAssault",1
"174","Apr-Jun 2021","SexualAssault",0
"175","Jul-Sep 2021","SexualAssault",1
"176","Oct-Dec 2021","SexualAssault",0
"177","Jan-Mar 2022","SexualAssault",2
"178","Apr-Jun 2022","SexualAssault",1
"179","Jul-Sep 2022","SexualAssault",1
"180","Oct-Dec 2022","SexualAssault",3
"181","Jan-Mar 2018","AttemptedSexualOffence",0
"182","Apr-Jun 2018","AttemptedSexualOffence",1
"183","Jul-Sep 2018","AttemptedSexualOffence",1
"184","Oct-Dec 2018","AttemptedSexualOffence",1
"185","Jan-Mar 2019","AttemptedSexualOffence",0
"186","Apr-Jun 2019","AttemptedSexualOffence",0
"187","Jul-Sep 2019","AttemptedSexualOffence",1
"188","Oct-Dec 2019","AttemptedSexualOffence",0
"189","Jan-Mar 2020","AttemptedSexualOffence",1
"190","Apr-Jun 2020","AttemptedSexualOffence",1
"191","Jul-Sep 2020","AttemptedSexualOffence",0
"192","Oct-Dec 2020","AttemptedSexualOffence",0
"193","Jan-Mar 2021","AttemptedSexualOffence",1
"194","Apr-Jun 2021","AttemptedSexualOffence",0
"195","Jul-Sep 2021","AttemptedSexualOffence",0
"196","Oct-Dec 2021","AttemptedSexualOffence",3
"197","Jan-Mar 2022","AttemptedSexualOffence",0
"198","Apr-Jun 2022","AttemptedSexualOffence",0
"199","Jul-Sep 2022","AttemptedSexualOffence",1
"200","Oct-Dec 2022","AttemptedSexualOffence",0
"201","Jan-Mar 2018","ContactSexualOffence",0
"202","Apr-Jun 2018","ContactSexualOffence",0
"203","Jul-Sep 2018","ContactSexualOffence",0
"204","Oct-Dec 2018","ContactSexualOffence",0
"205","Jan-Mar 2019","ContactSexualOffence",0
"206","Apr-Jun 2019","ContactSexualOffence",0
"207","Jul-Sep 2019","ContactSexualOffence",0
"208","Oct-Dec 2019","ContactSexualOffence",0
"209","Jan-Mar 2020","ContactSexualOffence",0
"210","Apr-Jun 2020","ContactSexualOffence",0
"211","Jul-Sep 2020","ContactSexualOffence",0
"212","Oct-Dec 2020","ContactSexualOffence",0
"213","Jan-Mar 2021","ContactSexualOffence",0
"214","Apr-Jun 2021","ContactSexualOffence",0
"215","Jul-Sep 2021","ContactSexualOffence",0
"216","Oct-Dec 2021","ContactSexualOffence",0
"217","Jan-Mar 2022","ContactSexualOffence",0
"218","Apr-Jun 2022","ContactSexualOffence",0
"219","Jul-Sep 2022","ContactSexualOffence",0
"220","Oct-Dec 2022","ContactSexualOffence",0
"221","Jan-Mar 2018","CarJacking",0
"222","Apr-Jun 2018","CarJacking",1
"223","Jul-Sep 2018","CarJacking",0
"224","Oct-Dec 2018","CarJacking",1
"225","Jan-Mar 2019","CarJacking",1
"226","Apr-Jun 2019","CarJacking",0
"227","Jul-Sep 2019","CarJacking",0
"228","Oct-Dec 2019","CarJacking",0
"229","Jan-Mar 2020","CarJacking",0
"230","Apr-Jun 2020","CarJacking",0
"231","Jul-Sep 2020","CarJacking",0
"232","Oct-Dec 2020","CarJacking",0
"233","Jan-Mar 2021","CarJacking",0
"234","Apr-Jun 2021","CarJacking",0
"235","Jul-Sep 2021","CarJacking",0
"236","Oct-Dec 2021","CarJacking",0
"237","Jan-Mar 2022","CarJacking",0
"238","Apr-Jun 2022","CarJacking",1
"239","Jul-Sep 2022","CarJacking",0
"240","Oct-Dec 2022","CarJacking",0
