"","Place","date","Crime","Incidences"
"1298","Atamelang","2019Q2","SeriousRobbery",6
"1299","Atamelang","2019Q3","SeriousRobbery",7
"1300","Atamelang","2019Q4","SeriousRobbery",1
"1301","Atamelang","2020Q1","SeriousRobbery",5
"1302","Atamelang","2020Q2","SeriousRobbery",8
"1303","Atamelang","2020Q3","SeriousRobbery",2
"1304","Atamelang","2020Q4","SeriousRobbery",3
"1305","Atamelang","2021Q1","SeriousRobbery",6
"1306","Atamelang","2021Q2","SeriousRobbery",5
"1307","Atamelang","2021Q3","SeriousRobbery",7
"1308","Atamelang","2021Q4","SeriousRobbery",7
"1309","Atamelang","2022Q1","SeriousRobbery",11
"1310","Atamelang","2022Q2","SeriousRobbery",7
"1311","Atamelang","2022Q3","SeriousRobbery",11
"1312","Atamelang","2018Q1","Rape",5
"1313","Atamelang","2018Q2","Rape",6
"1314","Atamelang","2018Q3","Rape",18
"1315","Atamelang","2018Q4","Rape",10
"1316","Atamelang","2019Q1","Rape",13
"1317","Atamelang","2019Q2","Rape",12
"1318","Atamelang","2019Q3","Rape",6
"1319","Atamelang","2019Q4","Rape",5
"1320","Atamelang","2020Q1","Rape",4
"1321","Atamelang","2020Q2","Rape",7
"1322","Atamelang","2020Q3","Rape",12
"1323","Atamelang","2020Q4","Rape",7
"1324","Atamelang","2021Q1","Rape",7
"1325","Atamelang","2021Q2","Rape",13
"1326","Atamelang","2021Q3","Rape",7
"1327","Atamelang","2021Q4","Rape",6
"1328","Atamelang","2022Q1","Rape",2
"1329","Atamelang","2022Q2","Rape",6
"1330","Atamelang","2022Q3","Rape",10
"1331","Atamelang","2018Q1","SexualAssault",1
"1332","Atamelang","2018Q2","SexualAssault",1
"1333","Atamelang","2018Q3","SexualAssault",0
"1334","Atamelang","2018Q4","SexualAssault",1
"1335","Atamelang","2019Q1","SexualAssault",0
"1336","Atamelang","2019Q2","SexualAssault",0
"1337","Atamelang","2019Q3","SexualAssault",0
"1338","Atamelang","2019Q4","SexualAssault",0
"1339","Atamelang","2020Q1","SexualAssault",0
"1340","Atamelang","2020Q2","SexualAssault",0
"1341","Atamelang","2020Q3","SexualAssault",0
"1342","Atamelang","2020Q4","SexualAssault",1
"1343","Atamelang","2021Q1","SexualAssault",0
"1344","Atamelang","2021Q2","SexualAssault",1
"1345","Atamelang","2021Q3","SexualAssault",0
"1346","Atamelang","2021Q4","SexualAssault",2
"1347","Atamelang","2022Q1","SexualAssault",1
"1348","Atamelang","2022Q2","SexualAssault",1
"1349","Atamelang","2022Q3","SexualAssault",3
"1350","Atamelang","2018Q1","AttemptedSexualOffence",1
"1351","Atamelang","2018Q2","AttemptedSexualOffence",1
"1352","Atamelang","2018Q3","AttemptedSexualOffence",1
"1353","Atamelang","2018Q4","AttemptedSexualOffence",0
"1354","Atamelang","2019Q1","AttemptedSexualOffence",0
"1355","Atamelang","2019Q2","AttemptedSexualOffence",1
"1356","Atamelang","2019Q3","AttemptedSexualOffence",0
"1357","Atamelang","2019Q4","AttemptedSexualOffence",1
"1358","Atamelang","2020Q1","AttemptedSexualOffence",1
"1359","Atamelang","2020Q2","AttemptedSexualOffence",0
"1360","Atamelang","2020Q3","AttemptedSexualOffence",0
"1361","Atamelang","2020Q4","AttemptedSexualOffence",1
"1362","Atamelang","2021Q1","AttemptedSexualOffence",0
"1363","Atamelang","2021Q2","AttemptedSexualOffence",0
"1364","Atamelang","2021Q3","AttemptedSexualOffence",3
