"","Date","Crime","Amalia"
"143","Jul-Sep 2018","Rape",0
"144","Oct-Dec 2018","Rape",3
"145","Jan-Mar 2019","Rape",0
"146","Apr-Jun 2019","Rape",1
"147","Jul-Sep 2019","Rape",0
"148","Oct-Dec 2019","Rape",1
"149","Jan-Mar 2020","Rape",3
"150","Apr-Jun 2020","Rape",1
"151","Jul-Sep 2020","Rape",0
"152","Oct-Dec 2020","Rape",3
"153","Jan-Mar 2021","Rape",1
"154","Apr-Jun 2021","Rape",0
"155","Jul-Sep 2021","Rape",0
"156","Oct-Dec 2021","Rape",2
"157","Jan-Mar 2022","Rape",1
"158","Apr-Jun 2022","Rape",3
"159","Jul-Sep 2022","Rape",1
"160","Oct-Dec 2022","Rape",2
"161","Jan-Mar 2018","SexualAssault",1
"162","Apr-Jun 2018","SexualAssault",0
"163","Jul-Sep 2018","SexualAssault",0
"164","Oct-Dec 2018","SexualAssault",0
"165","Jan-Mar 2019","SexualAssault",0
"166","Apr-Jun 2019","SexualAssault",0
"167","Jul-Sep 2019","SexualAssault",0
"168","Oct-Dec 2019","SexualAssault",0
"169","Jan-Mar 2020","SexualAssault",1
"170","Apr-Jun 2020","SexualAssault",0
"171","Jul-Sep 2020","SexualAssault",0
"172","Oct-Dec 2020","SexualAssault",0
"173","Jan-Mar 2021","SexualAssault",0
"174","Apr-Jun 2021","SexualAssault",0
"175","Jul-Sep 2021","SexualAssault",0
"176","Oct-Dec 2021","SexualAssault",0
"177","Jan-Mar 2022","SexualAssault",1
"178","Apr-Jun 2022","SexualAssault",1
"179","Jul-Sep 2022","SexualAssault",0
"180","Oct-Dec 2022","SexualAssault",1
"181","Jan-Mar 2018","AttemptedSexualOffence",0
"182","Apr-Jun 2018","AttemptedSexualOffence",0
"183","Jul-Sep 2018","AttemptedSexualOffence",0
"184","Oct-Dec 2018","AttemptedSexualOffence",0
"185","Jan-Mar 2019","AttemptedSexualOffence",0
"186","Apr-Jun 2019","AttemptedSexualOffence",0
"187","Jul-Sep 2019","AttemptedSexualOffence",0
"188","Oct-Dec 2019","AttemptedSexualOffence",0
"189","Jan-Mar 2020","AttemptedSexualOffence",0
"190","Apr-Jun 2020","AttemptedSexualOffence",0
"191","Jul-Sep 2020","AttemptedSexualOffence",0
"192","Oct-Dec 2020","AttemptedSexualOffence",0
"193","Jan-Mar 2021","AttemptedSexualOffence",0
"194","Apr-Jun 2021","AttemptedSexualOffence",0
"195","Jul-Sep 2021","AttemptedSexualOffence",0
"196","Oct-Dec 2021","AttemptedSexualOffence",0
"197","Jan-Mar 2022","AttemptedSexualOffence",0
"198","Apr-Jun 2022","AttemptedSexualOffence",0
"199","Jul-Sep 2022","AttemptedSexualOffence",0
"200","Oct-Dec 2022","AttemptedSexualOffence",1
"201","Jan-Mar 2018","ContactSexualOffence",0
"202","Apr-Jun 2018","ContactSexualOffence",0
"203","Jul-Sep 2018","ContactSexualOffence",0
"204","Oct-Dec 2018","ContactSexualOffence",0
"205","Jan-Mar 2019","ContactSexualOffence",0
"206","Apr-Jun 2019","ContactSexualOffence",0
"207","Jul-Sep 2019","ContactSexualOffence",0
"208","Oct-Dec 2019","ContactSexualOffence",0
"209","Jan-Mar 2020","ContactSexualOffence",0
"210","Apr-Jun 2020","ContactSexualOffence",0
"211","Jul-Sep 2020","ContactSexualOffence",0
"212","Oct-Dec 2020","ContactSexualOffence",0
"213","Jan-Mar 2021","ContactSexualOffence",0
"214","Apr-Jun 2021","ContactSexualOffence",0
"215","Jul-Sep 2021","ContactSexualOffence",0
"216","Oct-Dec 2021","ContactSexualOffence",0
"217","Jan-Mar 2022","ContactSexualOffence",0
"218","Apr-Jun 2022","ContactSexualOffence",1
"219","Jul-Sep 2022","ContactSexualOffence",0
"220","Oct-Dec 2022","ContactSexualOffence",0
"221","Jan-Mar 2018","CarJacking",0
"222","Apr-Jun 2018","CarJacking",0
"223","Jul-Sep 2018","CarJacking",0
"224","Oct-Dec 2018","CarJacking",0
"225","Jan-Mar 2019","CarJacking",0
"226","Apr-Jun 2019","CarJacking",0
"227","Jul-Sep 2019","CarJacking",1
"228","Oct-Dec 2019","CarJacking",0
"229","Jan-Mar 2020","CarJacking",0
"230","Apr-Jun 2020","CarJacking",0
"231","Jul-Sep 2020","CarJacking",0
"232","Oct-Dec 2020","CarJacking",0
"233","Jan-Mar 2021","CarJacking",0
"234","Apr-Jun 2021","CarJacking",1
