"","Date","Crime","Assen"
"143","Jul-Sep 2018","Rape",1
"144","Oct-Dec 2018","Rape",2
"145","Jan-Mar 2019","Rape",0
"146","Apr-Jun 2019","Rape",0
"147","Jul-Sep 2019","Rape",0
"148","Oct-Dec 2019","Rape",2
"149","Jan-Mar 2020","Rape",1
"150","Apr-Jun 2020","Rape",0
"151","Jul-Sep 2020","Rape",1
"152","Oct-Dec 2020","Rape",0
"153","Jan-Mar 2021","Rape",0
"154","Apr-Jun 2021","Rape",0
"155","Jul-Sep 2021","Rape",0
"156","Oct-Dec 2021","Rape",0
"157","Jan-Mar 2022","Rape",1
"158","Apr-Jun 2022","Rape",3
"159","Jul-Sep 2022","Rape",0
"160","Oct-Dec 2022","Rape",1
"161","Jan-Mar 2018","SexualAssault",0
"162","Apr-Jun 2018","SexualAssault",0
"163","Jul-Sep 2018","SexualAssault",0
"164","Oct-Dec 2018","SexualAssault",0
"165","Jan-Mar 2019","SexualAssault",0
"166","Apr-Jun 2019","SexualAssault",0
"167","Jul-Sep 2019","SexualAssault",0
"168","Oct-Dec 2019","SexualAssault",0
"169","Jan-Mar 2020","SexualAssault",0
"170","Apr-Jun 2020","SexualAssault",0
"171","Jul-Sep 2020","SexualAssault",0
"172","Oct-Dec 2020","SexualAssault",0
"173","Jan-Mar 2021","SexualAssault",0
"174","Apr-Jun 2021","SexualAssault",0
"175","Jul-Sep 2021","SexualAssault",0
"176","Oct-Dec 2021","SexualAssault",0
"177","Jan-Mar 2022","SexualAssault",0
"178","Apr-Jun 2022","SexualAssault",0
"179","Jul-Sep 2022","SexualAssault",0
"180","Oct-Dec 2022","SexualAssault",0
"181","Jan-Mar 2018","AttemptedSexualOffence",0
"182","Apr-Jun 2018","AttemptedSexualOffence",0
"183","Jul-Sep 2018","AttemptedSexualOffence",0
"184","Oct-Dec 2018","AttemptedSexualOffence",0
"185","Jan-Mar 2019","AttemptedSexualOffence",0
"186","Apr-Jun 2019","AttemptedSexualOffence",0
"187","Jul-Sep 2019","AttemptedSexualOffence",0
"188","Oct-Dec 2019","AttemptedSexualOffence",0
"189","Jan-Mar 2020","AttemptedSexualOffence",0
"190","Apr-Jun 2020","AttemptedSexualOffence",0
"191","Jul-Sep 2020","AttemptedSexualOffence",0
"192","Oct-Dec 2020","AttemptedSexualOffence",0
"193","Jan-Mar 2021","AttemptedSexualOffence",0
"194","Apr-Jun 2021","AttemptedSexualOffence",0
"195","Jul-Sep 2021","AttemptedSexualOffence",0
"196","Oct-Dec 2021","AttemptedSexualOffence",1
"197","Jan-Mar 2022","AttemptedSexualOffence",0
"198","Apr-Jun 2022","AttemptedSexualOffence",0
"199","Jul-Sep 2022","AttemptedSexualOffence",0
"200","Oct-Dec 2022","AttemptedSexualOffence",0
"201","Jan-Mar 2018","ContactSexualOffence",0
"202","Apr-Jun 2018","ContactSexualOffence",0
"203","Jul-Sep 2018","ContactSexualOffence",0
"204","Oct-Dec 2018","ContactSexualOffence",0
"205","Jan-Mar 2019","ContactSexualOffence",0
"206","Apr-Jun 2019","ContactSexualOffence",0
"207","Jul-Sep 2019","ContactSexualOffence",0
"208","Oct-Dec 2019","ContactSexualOffence",0
"209","Jan-Mar 2020","ContactSexualOffence",0
"210","Apr-Jun 2020","ContactSexualOffence",0
"211","Jul-Sep 2020","ContactSexualOffence",0
"212","Oct-Dec 2020","ContactSexualOffence",0
"213","Jan-Mar 2021","ContactSexualOffence",0
"214","Apr-Jun 2021","ContactSexualOffence",0
"215","Jul-Sep 2021","ContactSexualOffence",0
"216","Oct-Dec 2021","ContactSexualOffence",0
"217","Jan-Mar 2022","ContactSexualOffence",0
"218","Apr-Jun 2022","ContactSexualOffence",0
"219","Jul-Sep 2022","ContactSexualOffence",0
"220","Oct-Dec 2022","ContactSexualOffence",0
"221","Jan-Mar 2018","CarJacking",0
"222","Apr-Jun 2018","CarJacking",0
"223","Jul-Sep 2018","CarJacking",0
"224","Oct-Dec 2018","CarJacking",0
"225","Jan-Mar 2019","CarJacking",0
"226","Apr-Jun 2019","CarJacking",0
"227","Jul-Sep 2019","CarJacking",0
"228","Oct-Dec 2019","CarJacking",0
"229","Jan-Mar 2020","CarJacking",0
"230","Apr-Jun 2020","CarJacking",0
"231","Jul-Sep 2020","CarJacking",0
"232","Oct-Dec 2020","CarJacking",0
"233","Jan-Mar 2021","CarJacking",0
"234","Apr-Jun 2021","CarJacking",0
"235","Jul-Sep 2021","CarJacking",0
"236","Oct-Dec 2021","CarJacking",0
"237","Jan-Mar 2022","CarJacking",0
"238","Apr-Jun 2022","CarJacking",0
"239","Jul-Sep 2022","CarJacking",0
"240","Oct-Dec 2022","CarJacking",0
"241","Jan-Mar 2018","ResidentialPremisisRobbery",2
"242","Apr-Jun 2018","ResidentialPremisisRobbery",2
"243","Jul-Sep 2018","ResidentialPremisisRobbery",1
"244","Oct-Dec 2018","ResidentialPremisisRobbery",1
"245","Jan-Mar 2019","ResidentialPremisisRobbery",3
"246","Apr-Jun 2019","ResidentialPremisisRobbery",0
"247","Jul-Sep 2019","ResidentialPremisisRobbery",0
"248","Oct-Dec 2019","ResidentialPremisisRobbery",2
"249","Jan-Mar 2020","ResidentialPremisisRobbery",0
"250","Apr-Jun 2020","ResidentialPremisisRobbery",0
"251","Jul-Sep 2020","ResidentialPremisisRobbery",2
"252","Oct-Dec 2020","ResidentialPremisisRobbery",1
"253","Jan-Mar 2021","ResidentialPremisisRobbery",0
"254","Apr-Jun 2021","ResidentialPremisisRobbery",0
"255","Jul-Sep 2021","ResidentialPremisisRobbery",1
"256","Oct-Dec 2021","ResidentialPremisisRobbery",0
"257","Jan-Mar 2022","ResidentialPremisisRobbery",0
"258","Apr-Jun 2022","ResidentialPremisisRobbery",1
"259","Jul-Sep 2022","ResidentialPremisisRobbery",0
"260","Oct-Dec 2022","ResidentialPremisisRobbery",0
"261","Jan-Mar 2018","NonResidentialPremisisRobbery",1
"262","Apr-Jun 2018","NonResidentialPremisisRobbery",0
"263","Jul-Sep 2018","NonResidentialPremisisRobbery",1
"264","Oct-Dec 2018","NonResidentialPremisisRobbery",0
"265","Jan-Mar 2019","NonResidentialPremisisRobbery",0
"266","Apr-Jun 2019","NonResidentialPremisisRobbery",0
"267","Jul-Sep 2019","NonResidentialPremisisRobbery",0
"268","Oct-Dec 2019","NonResidentialPremisisRobbery",0
"269","Jan-Mar 2020","NonResidentialPremisisRobbery",0
"270","Apr-Jun 2020","NonResidentialPremisisRobbery",0
"271","Jul-Sep 2020","NonResidentialPremisisRobbery",0
"272","Oct-Dec 2020","NonResidentialPremisisRobbery",0
"273","Jan-Mar 2021","NonResidentialPremisisRobbery",0
"274","Apr-Jun 2021","NonResidentialPremisisRobbery",0
"275","Jul-Sep 2021","NonResidentialPremisisRobbery",1
"276","Oct-Dec 2021","NonResidentialPremisisRobbery",0
"277","Jan-Mar 2022","NonResidentialPremisisRobbery",0
"278","Apr-Jun 2022","NonResidentialPremisisRobbery",0
"279","Jul-Sep 2022","NonResidentialPremisisRobbery",0
"280","Oct-Dec 2022","NonResidentialPremisisRobbery",0
"281","Jan-Mar 2018","CashInTansit",0
"282","Apr-Jun 2018","CashInTansit",0
"283","Jul-Sep 2018","CashInTansit",0
"284","Oct-Dec 2018","CashInTansit",0
"285","Jan-Mar 2019","CashInTansit",0
"286","Apr-Jun 2019","CashInTansit",0
"287","Jul-Sep 2019","CashInTansit",0
"288","Oct-Dec 2019","CashInTansit",0
"289","Jan-Mar 2020","CashInTansit",0
"290","Apr-Jun 2020","CashInTansit",0
"291","Jul-Sep 2020","CashInTansit",0
"292","Oct-Dec 2020","CashInTansit",0
"293","Jan-Mar 2021","CashInTansit",0
"294","Apr-Jun 2021","CashInTansit",0
"295","Jul-Sep 2021","CashInTansit",0
"296","Oct-Dec 2021","CashInTansit",0
"297","Jan-Mar 2022","CashInTansit",0
"298","Apr-Jun 2022","CashInTansit",0
"299","Jul-Sep 2022","CashInTansit",0
"300","Oct-Dec 2022","CashInTansit",0
"301","Jan-Mar 2018","BankRobbery",0
"302","Apr-Jun 2018","BankRobbery",0
"303","Jul-Sep 2018","BankRobbery",0
"304","Oct-Dec 2018","BankRobbery",0
"305","Jan-Mar 2019","BankRobbery",0
"306","Apr-Jun 2019","BankRobbery",0
"307","Jul-Sep 2019","BankRobbery",0
"308","Oct-Dec 2019","BankRobbery",0
"309","Jan-Mar 2020","BankRobbery",0
"310","Apr-Jun 2020","BankRobbery",0
"311","Jul-Sep 2020","BankRobbery",0
"312","Oct-Dec 2020","BankRobbery",0
"313","Jan-Mar 2021","BankRobbery",0
"314","Apr-Jun 2021","BankRobbery",0
"315","Jul-Sep 2021","BankRobbery",0
"316","Oct-Dec 2021","BankRobbery",0
"317","Jan-Mar 2022","BankRobbery",0
"318","Apr-Jun 2022","BankRobbery",0
"319","Jul-Sep 2022","BankRobbery",0
"320","Oct-Dec 2022","BankRobbery",0
"321","Jan-Mar 2018","Truckhijacking",0
"322","Apr-Jun 2018","Truckhijacking",0
"323","Jul-Sep 2018","Truckhijacking",0
"324","Oct-Dec 2018","Truckhijacking",0
"325","Jan-Mar 2019","Truckhijacking",0
"326","Apr-Jun 2019","Truckhijacking",0
"327","Jul-Sep 2019","Truckhijacking",0
"328","Oct-Dec 2019","Truckhijacking",0
"329","Jan-Mar 2020","Truckhijacking",0
"330","Apr-Jun 2020","Truckhijacking",0
